link,capacity,internal
COGENT_ams-5-n7_#1,100,False
COGENT_ams-gsa1-pb1-8k_#1,100,False
COGENT_ams-gsa1-pb3-8k_#1,100,False
COGENT_fra-fr5-pb2-nc5_#1,100,False
COGENT_fra-fr5-pb3-nc5_#1,100,False
COGENT_gsw-1-n7_#1,100,False
COGENT_ldn-1-n7_#1,100,False
COGENT_ldn-5-n7_#1,100,False
COGENT_lon-drch-pb1-nc5_#1,100,False
COGENT_lon-thw-pb1-nc5_#1,100,False
COGENT_lon-thw-pb2-nc5_#1,100,False
COGENT_mad-1-n7_#1,100,False
COGENT_mad-mad2-pb1-ptx_#1,100,False
COGENT_par-gsw-pb1-nc5_#1,100,False
COGENT_par-th2-pb2-nc5_#1,100,False
COGENT_th2-1-n7_#1,100,False
COGENT_var-5-n93_#1,100,False
COGENT_vie-vie2-pb1-nc5_#4,100,False
COGENT_waw-wa1-pb1-nc5_#1,100,False
CORE-BACKBONE_fra-5-n7_#1,100,False
CORE-BACKBONE_fra-fr5-pb5-nc5_#1,100,False
CORE-BACKBONE_par-th2-pb2-nc5_#1,100,False
D-TAG_fra-1-n7_#1,100,False
D-TAG_fra-1-n7_#2,100,False
D-TAG_fra-fr5-pb1-ptx_#1,100,False
D-TAG_fra-fr5-pb1-ptx_#2,100,False
D-TAG_fra-fr5-pb2-nc5_#1,100,False
D-TAG_fra-fr5-pb2-nc5_#2,100,False
DATA-IX_fra-1-n7_#1,100,False
DATA-IX_fra-fr5-pb5-nc5_#1,100,False
DE-CIX_fra-1-n7_#1,100,False
DE-CIX_fra-1-n7_#2,100,False
DE-CIX_fra-1-n7_#3,100,False
DE-CIX_fra-5-n7_#1,100,False
DE-CIX_fra-5-n7_#2,100,False
DE-CIX_fra-5-n7_#3,100,False
DE-CIX_fra-fr5-pb2-nc5_#1,100,False
DE-CIX_fra-fr5-pb2-nc5_#2,100,False
DE-CIX_fra-fr5-pb2-nc5_#3,100,False
DE-CIX_fra-fr5-pb3-nc5_#1,100,False
DE-CIX_fra-fr5-pb3-nc5_#2,100,False
DE-CIX_fra-fr5-pb3-nc5_#3,100,False
DECIX MAD_mad-1-n7_#1,100,False
DECIX MAD_mad-mad2-pb1-ptx_#1,100,False
DTAG_fra-5-n7_#1,100,False
DTAG_fra-fr5-pb3-nc5_#1,100,False
DTEL-IX_var-1-n7_#1,100,False
DTEL-IX_waw-wa2-pb1-nc5_#1,100,False
EQUINIX_AMAZON_#1,100,False
EQUINIX_AMAZON_#4,100,False
EQUINIX_FRANCE-IX_#1,100,False
EQUINIX_SEABONE_#1,100,False
EQUINIX_par-pa3-pb2-ptx_#1,100,False
EQUINIX_par-th2-pb2-nc5_#1,100,False
EQUINIX_th2-1-n7_#1,100,False
ESPANIX-LOWER_mad-2-a72_#1,100,False
ESPANIX-LOWER_mad-mad2-pb1-ptx_#1,100,False
ESPANIX-UPPER_mad-2-a72_#1,100,False
ESPANIX-UPPER_mad-mad2-pb1-ptx_#1,100,False
EXATEL_waw-atm-pb1-nc5_#1,100,False
FIORD_fra-1-n7_#1,100,False
FIORD_waw-wa1-pb1-nc5_#1,100,False
FRANCE-IX_AMAZON_#2,100,False
FRANCE-IX_AMAZON_#3,100,False
FRANCE-IX_AMAZON_#4,100,False
FRANCE-IX_EQUINIX_#1,100,False
FRANCE-IX_JASTEL_#1,100,False
FRANCE-IX_JASTEL_#2,100,False
FRANCE-IX_NUMERICABLE_#1,100,False
FRANCE-IX_NUMERICABLE_#2,100,False
FRANCE-IX_SFR_#1,100,False
FRANCE-IX_mrs-mrs1-bb1-a72_#1,100,False
FRANCE-IX_mrs-mrs1-pb1-nc5_#1,100,False
FRANCE-IX_par-pa3-pb1-nc5_#1,100,False
FRANCE-IX_par-th2-pb1-nc5_#1,100,False
FRANCE-IX_th2-1-n7_#1,100,False
FREE_gsw-1-n7_#1,100,False
FREE_gsw-1-n7_#2,100,False
FREE_par-gsw-pb1-nc5_#1,100,False
FREE_par-gsw-pb1-nc5_#2,100,False
FREE_par-gsw-vcoagg2-n92_#1,100,False
FREE_par-gsw-vcoagg2-n92_#2,100,False
FREE_par-th2-pb1-nc5_#1,100,False
FREE_par-th2-vcoagg2-n92_#1,100,False
FREE_th2-1-n7_#1,100,False
GOOGLE_BOUYGUES_#1,100,False
GOOGLE_JASTEL_#1,100,False
GOOGLE_JASTEL_#2,100,False
GOOGLE_NUMERICABLE_#1,100,False
GOOGLE_NUMERICABLE_#2,100,False
GOOGLE_SFR_#1,100,False
GOOGLE_fra-5-n7_#1,100,False
GOOGLE_fra-5-n7_#2,100,False
GOOGLE_fra-5-n7_#3,100,False
GOOGLE_fra-5-n7_#4,100,False
GOOGLE_fra-fr5-pb3-nc5_#1,100,False
GOOGLE_gsw-1-n7_#1,100,False
GOOGLE_lon-drch-pb1-nc5_#1,100,False
GOOGLE_par-gsw-pb1-nc5_#1,100,False
GOOGLE_par-gsw-pb3-nc5_#1,100,False
GOOGLE_par-th2-pb1-nc5_#1,100,False
GOOGLE_par-th2-pb3-nc5_#1,100,False
GOOGLE_th2-1-n7_#1,100,False
HETZNER_fra-1-n7_#1,100,False
HETZNER_fra-5-n7_#1,100,False
HETZNER_fra-fr5-pb1-ptx_#1,100,False
HETZNER_fra-fr5-pb4-nc5_#1,100,False
IKOULA_par-th2-pb3-nc5_#1,100,False
JASTEL_AMAZON_#1,100,False
JASTEL_AMAZON_#2,100,False
JASTEL_AMAZON_#3,100,False
JASTEL_AMAZON_#4,100,False
JASTEL_COGENT_#2,100,False
JASTEL_FRANCE-IX_#1,100,False
JASTEL_FRANCE-IX_#2,100,False
JASTEL_GOOGLE_#1,100,False
JASTEL_GOOGLE_#2,100,False
JASTEL_ONLINE_#4,100,False
